order_id,product,quantity,customer_id
93,Coffee Filters,1,193
94,Chicken,1,194
94,Rice,1,194
94,Garlic Paste,1,194
95,Shampoo,1,195
95,Conditioner,1,195
95,Hair Conditioner Spray,1,195
96,Bread,1,196
96,Butter,1,196
96,Eggs,1,196
97,Laptop,1,197
97,Mouse,1,197
97,Monitor,1,197
98,Smartphone,1,198
98,Screen Protector,1,198
98,Phone Stand,1,198
99,Bread,1,199
99,Milk,1,199
99,Granola,1,199
100,Coffee,1,200
100,Sugar,1,200
100,Milk,1,200
100,Cookies,1,200

